name,Website,Bio,Social Media Pages,Market Availability,Location / Address
Cold Climate Farms,https://www.facebook.com/coldclimatefarms/,,,,
Behnke's Grass Fed Beef and Pasture Pork,https://www.facebook.com/pg/Behnkes-Grass-Fed-Beef-And-Pasture-Pork-LLC-250614411763880/about/?ref=page_internal,,,,
Twin Elm Gardens,https://www.twinelmgardens.com,,,,
Field and Forest Products,http://www.fieldforest.net,,,,
Clario Farms,https://www.facebook.com/clariofarmsllc/,,,,
Folkvangr Farms,http://www.folkvangrfarms.com,,,,
Pensaukee Valley Certified Organic Farm,https://www.facebook.com/pg/Pensaukee-Valley-Certified-Organic-Farm-1375462499345164/about/?ref=page_internal,,,,
Full Circle Community Farm,https://www.facebook.com/pg/fullcirclecommunityfarm/about/?ref=page_internal,,,,
LedgeCrest Family Farm,https://www.facebook.com/pg/LedgeCrest-Family-Farm-810449815659732/about/?ref=page_internal,,,,
Century Sun Oil,http://www.centurysunoil.com,,,,
Trust Local Foods,https://www.trustlocalfoods.com,,,,
Kickaas Cheese,https://www.facebook.com/kickaascheese/,,,,
Great Harvest Bread,http://greatharvestdepere.com,,,,
Sweet Dirt Acres,https://www.facebook.com/Sweet-Dirt-Acres-268875213166533/,,,,
The Farmory,http://www.farmory.org,,,,
Tapuat Kombucha,https://www.tapuatkombucha.com,,,,
